comparison,fixed_factor,fixed_value,topology,stratum,outcome,false_to_false,false_to_true,true_to_false,true_to_true,discordant_n,exact_mcnemar_p
defense_effect_standard_to_defended,attack_condition,compromised,peer_debate,primary_strict,final_unsafe,9,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,peer_debate,primary_strict,intermediate_propagation,9,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,peer_debate,semantic_sensitivity,utility,0,0,0,2,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,peer_debate,semantic_sensitivity,final_unsafe,2,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,peer_debate,semantic_sensitivity,intermediate_propagation,2,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,False,peer_debate,all,utility,1,1,2,7,3,1.0
attack_effect_clean_to_compromised,defense_prompt,False,peer_debate,all,final_unsafe,11,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,False,peer_debate,all,intermediate_propagation,11,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,False,peer_debate,primary_strict,utility,1,1,2,5,3,1.0
attack_effect_clean_to_compromised,defense_prompt,False,peer_debate,primary_strict,final_unsafe,9,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,False,peer_debate,primary_strict,intermediate_propagation,9,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,False,peer_debate,semantic_sensitivity,utility,0,0,0,2,0,1.0
attack_effect_clean_to_compromised,defense_prompt,False,peer_debate,semantic_sensitivity,final_unsafe,2,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,False,peer_debate,semantic_sensitivity,intermediate_propagation,2,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,True,peer_debate,all,utility,3,1,1,6,2,1.0
attack_effect_clean_to_compromised,defense_prompt,True,peer_debate,all,final_unsafe,11,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,True,peer_debate,all,intermediate_propagation,11,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,True,peer_debate,primary_strict,utility,3,0,1,5,1,1.0
attack_effect_clean_to_compromised,defense_prompt,True,peer_debate,primary_strict,final_unsafe,9,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,True,peer_debate,primary_strict,intermediate_propagation,9,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,True,peer_debate,semantic_sensitivity,utility,0,1,0,1,1,1.0
attack_effect_clean_to_compromised,defense_prompt,True,peer_debate,semantic_sensitivity,final_unsafe,2,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,True,peer_debate,semantic_sensitivity,intermediate_propagation,2,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,clean,safety_monitor,all,utility,3,3,0,5,3,0.25
defense_effect_standard_to_defended,attack_condition,clean,safety_monitor,all,final_unsafe,11,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,clean,safety_monitor,all,intermediate_propagation,11,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,clean,safety_monitor,primary_strict,utility,3,2,0,4,2,0.5
defense_effect_standard_to_defended,attack_condition,clean,safety_monitor,primary_strict,final_unsafe,9,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,clean,safety_monitor,primary_strict,intermediate_propagation,9,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,clean,safety_monitor,semantic_sensitivity,utility,0,1,0,1,1,1.0
defense_effect_standard_to_defended,attack_condition,clean,safety_monitor,semantic_sensitivity,final_unsafe,2,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,clean,safety_monitor,semantic_sensitivity,intermediate_propagation,2,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,safety_monitor,all,utility,6,1,0,4,1,1.0
defense_effect_standard_to_defended,attack_condition,compromised,safety_monitor,all,final_unsafe,11,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,safety_monitor,all,intermediate_propagation,11,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,safety_monitor,primary_strict,utility,5,1,0,3,1,1.0
defense_effect_standard_to_defended,attack_condition,compromised,safety_monitor,primary_strict,final_unsafe,9,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,safety_monitor,primary_strict,intermediate_propagation,9,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,safety_monitor,semantic_sensitivity,utility,1,0,0,1,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,safety_monitor,semantic_sensitivity,final_unsafe,2,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,safety_monitor,semantic_sensitivity,intermediate_propagation,2,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,False,safety_monitor,all,utility,4,2,3,2,5,1.0
attack_effect_clean_to_compromised,defense_prompt,False,safety_monitor,all,final_unsafe,11,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,False,safety_monitor,all,intermediate_propagation,11,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,False,safety_monitor,primary_strict,utility,3,2,3,1,5,1.0
attack_effect_clean_to_compromised,defense_prompt,False,safety_monitor,primary_strict,final_unsafe,9,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,False,safety_monitor,primary_strict,intermediate_propagation,9,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,False,safety_monitor,semantic_sensitivity,utility,1,0,0,1,0,1.0
attack_effect_clean_to_compromised,defense_prompt,False,safety_monitor,semantic_sensitivity,final_unsafe,2,0,0,0,0,1.0
